time,Im,Wm,ARR1,ARR2,a1_upper,a1_lower,a2_upper,a2_lower,activation_arr1,activation_arr2,Fault_type
1177.4,18.646472222689,233.413147274424,2.8696795666384,0.138482595915658,2.21653943962288,-2.21653943962288,0.127336881666056,-0.127336881666056,1,1,"Re & Rm"
1177.5,18.2356630085408,228.262088667299,2.87400783955069,0.149703426099603,2.21634690598156,-2.21634690598156,0.127278259178016,-0.127278259178016,1,1,"Re & Rm"
1177.6,19.026684580264,238.154581729947,2.89544328489973,0.175555448258988,2.21552307778077,-2.21552307778077,0.127144162735009,-0.127144162735009,1,1,"Re & Rm"
1177.7,18.179489364535,227.54175161317,2.86312261307863,0.125935659725343,2.2169548944367,-2.2169548944367,0.127391207679467,-0.127391207679467,1,0,"Re & Rm"
1177.8,18.464771702793,231.10372931941,2.89812366341982,0.179300470730777,2.21548373922862,-2.21548373922862,0.127119595698099,-0.127119595698099,1,1,"Re & Rm"
1177.9,18.3440605048752,229.584244513815,2.89430725618429,0.161329721298904,2.21579665461502,-2.21579665461502,0.127205393194765,-0.127205393194765,1,1,"Re & Rm"
1178,18.2048851124891,227.833795430205,2.9048401696815,0.168923578652034,2.21545747467283,-2.21545747467283,0.127162995354582,-0.127162995354582,1,1,"Re & Rm"
1178.1,18.5229779349748,231.805965538371,2.91943138618439,0.177615456202998,2.21499039183138,-2.21499039183138,0.127114270478047,-0.127114270478047,1,1,"Re & Rm"
1178.2,18.7003529996573,234.01688851431,2.91309032904624,0.157606643363783,2.21539536903604,-2.21539536903604,0.127210597381035,-0.127210597381035,1,1,"Re & Rm"
1178.3,18.6850440997527,233.816481492324,2.90607611341798,0.146564591930649,2.21573721351816,-2.21573721351816,0.127263311255292,-0.127263311255292,1,1,"Re & Rm"
1178.4,18.2975610766523,228.959041037363,2.90482049476918,0.147673571607156,2.21579990729578,-2.21579990729578,0.127255348308531,-0.127255348308531,1,1,"Re & Rm"
1178.5,18.1438978773015,227.027665609155,2.92388187687258,0.172077362855321,2.21505818552438,-2.21505818552438,0.127128861352393,-0.127128861352393,1,1,"Re & Rm"
1178.6,18.5635171034338,232.269429223177,2.94037086730243,0.181653373098702,2.21452782046838,-2.21452782046838,0.127075358197708,-0.127075358197708,1,1,"Re & Rm"
1178.7,18.5485170977949,232.072983177203,2.93008728411867,0.15526391956995,2.21510606866061,-2.21510606866061,0.127203751266076,-0.127203751266076,1,1,"Re & Rm"
1178.8,19.0590343191138,238.451403446537,2.93224186216795,0.156288704895105,2.21507055603029,-2.21507055603029,0.127195376025224,-0.127195376025224,1,1,"Re & Rm"
1178.9,18.2885009351254,228.802465970233,2.90667461817729,0.124407478609788,2.21614304061874,-2.21614304061874,0.127354195893708,-0.127354195893708,1,0,"Re & Rm"
1179,18.4562874278807,230.892878903565,2.93655260702831,0.172968082297824,2.21486455809719,-2.21486455809719,0.127107218885455,-0.127107218885455,1,1,"Re & Rm"
1179.1,19.0643856305836,238.491338164072,2.93604304010027,0.162416491596585,2.21501310505738,-2.21501310505738,0.12715598599728,-0.12715598599728,1,1,"Re & Rm"
1179.2,18.4192947419701,230.41269123182,2.90764758798758,0.124385686541812,2.21622442634962,-2.21622442634962,0.127345494300893,-0.127345494300893,1,0,"Re & Rm"
1179.3,18.0681005471344,226.010960701419,2.93069482245276,0.165091228953022,2.2152165726881,-2.2152165726881,0.127138480184468,-0.127138480184468,1,1,"Re & Rm"
1179.4,18.4075176463829,230.247981859489,2.9546087168778,0.187087000647286,2.21435607349408,-2.21435607349408,0.12702258676072,-0.12702258676072,1,1,"Re & Rm"
