time,Im,Wm,ARR1,ARR2,a1_upper,a1_lower,a2_upper,a2_lower,activation_arr1,activation_arr2,Fault_type
1461.1,18.849584884128,298.450769435191,-6.07512648434745,-0.408703755291853,2.23811147205036,-2.23811147205036,0.147586853591779,-0.147586853591779,1,1,"W"
1461.2,19.4142364288041,307.401436841459,-6.09852801766196,-0.465453267288633,2.23915619096038,-2.23915619096038,0.147874692901508,-0.147874692901508,1,1,"W"
1461.3,18.5631864405184,293.93599429346,-6.13405724995866,-0.510392066249495,2.24041848126511,-2.24041848126511,0.148107384074923,-0.148107384074923,1,1,"W"
1461.4,18.7600623944349,297.063428269166,-6.10583513995559,-0.442623356395716,2.23908256549751,-2.23908256549751,0.14777252446491,-0.14777252446491,1,1,"W"
1461.5,19.0917365999819,302.325659661582,-6.11235062539809,-0.458447282643143,2.2393469253299,-2.2393469253299,0.147855727371084,-0.147855727371084,1,1,"W"
1461.6,18.412421039954,291.578258033159,-6.13210625935484,-0.484910403155127,2.24004462588026,-2.24004462588026,0.147994167609581,-0.147994167609581,1,1,"W"
1461.7,18.4566000989716,292.287744510524,-6.10431023188443,-0.430904208370199,2.23883438215647,-2.23883438215647,0.147726923542438,-0.147726923542438,1,1,"W"
1461.8,18.5517618885964,293.804692947385,-6.09790851799423,-0.434650375711607,2.23866184047752,-2.23866184047752,0.147747905492734,-0.147747905492734,1,1,"W"
1461.9,19.5047726786268,308.907976813589,-6.09570306217798,-0.442431394131939,2.23863215267096,-2.23863215267096,0.147789637925786,-0.147789637925786,1,1,"W"
1462,19.4085639461483,307.394643334257,-6.14462458248717,-0.518359520816124,2.24050089251063,-2.24050089251063,0.148177431597003,-0.148177431597003,1,1,"W"
1462.1,19.1956620256605,304.032946991006,-6.16156076923933,-0.510538537017703,2.24083987504305,-2.24083987504305,0.148147041435449,-0.148147041435449,1,1,"W"
1462.2,18.7528569612053,297.029549698216,-6.16904780086361,-0.493479290958252,2.24085592654212,-2.24085592654212,0.148069175498663,-0.148069175498663,1,1,"W"
1462.3,18.4381918043888,292.055376205278,-6.15739942924786,-0.45822535563687,2.24022230799656,-2.24022230799656,0.147897662769862,-0.147897662769862,1,1,"W"
1462.4,18.9638650232536,300.39202100718,-6.14029552297745,-0.433322218407566,2.23953275035572,-2.23953275035572,0.147775673028261,-0.147775673028261,1,1,"W"
1462.5,18.6959590152699,296.158324600161,-6.16161576777906,-0.475337990583785,2.2404004805267,-2.2404004805267,0.147990795602644,-0.147990795602644,1,1,"W"
1462.6,19.372009727855,306.877844597519,-6.15322025073812,-0.454070962866524,2.23996795548473,-2.23996795548473,0.147888642258594,-0.147888642258594,1,1,"W"
1462.7,19.18873476456,303.984791064328,-6.19038423623593,-0.507948314678729,2.24134688823109,-2.24134688823109,0.148165601280748,-0.148165601280748,1,1,"W"
1462.8,18.7252057600476,296.651653092247,-6.19836006847678,-0.493256568526717,2.24139536109396,-2.24139536109396,0.148099483266645,-0.148099483266645,1,1,"W"
1462.9,19.2979869640002,305.736184132162,-6.18521132454368,-0.456352133710321,2.24070900788593,-2.24070900788593,0.147919549269928,-0.147919549269928,1,1,"W"
1463,19.1581370051902,303.530798484627,-6.21722141629544,-0.502015448979046,2.24188534852859,-2.24188534852859,0.14815505374684,-0.14815505374684,1,1,"W"
1463.1,18.4655812343657,292.568206246649,-6.22536969837666,-0.490804784440904,2.24196726661624,-2.24196726661624,0.148106076452847,-0.148106076452847,1,1,"W"
1463.2,19.2412374896508,304.867972984957,-6.19828211596458,-0.435699190211489,2.24076662017467,-2.24076662017467,0.14783366968476,-0.14783366968476,1,1,"W"
1463.3,18.7174966499138,296.579564620153,-6.23419169010445,-0.497597685808868,2.2421794806432,-2.2421794806432,0.148149732609399,-0.148149732609399,1,1,"W"
1463.4,19.0138391861384,301.285292129706,-6.2189793030692,-0.455881587195675,2.24139943014391,-2.24139943014391,0.147945745610345,-0.147945745610345,1,1,"W"
1463.5,18.7161246347721,296.577840355817,-6.23501294363436,-0.479574804200758,2.2419769732397,-2.2419769732397,0.148069823506922,-0.148069823506922,1,1,"W"
1463.6,19.7127035564461,312.380283900986,-6.22600191023138,-0.455916097632999,2.24150859996706,-2.24150859996706,0.147955851865214,-0.147955851865214,1,1,"W"
1463.7,18.9664374856039,300.564609334707,-6.28145145536692,-0.535299845422035,2.24357552150517,-2.24357552150517,0.148362201973883,-0.148362201973883,1,1,"W"
1463.8,18.3937698503463,291.499275732705,-6.2670202475729,-0.475706416503173,2.24266716130799,-2.24266716130799,0.148070719960457,-0.148070719960457,1,1,"W"
1463.9,18.3063206460667,290.123193974739,-6.24096407181343,-0.430197626154459,2.24157332403256,-2.24157332403256,0.147845665434608,-0.147845665434608,1,1,"W"
1464,19.1388066947139,303.326876869037,-6.22593088722106,-0.423492931415121,2.24108921767531,-2.24108921767531,0.147813498546328,-0.147813498546328,1,1,"W"
1464.1,18.4282253396979,292.074877845363,-6.26035107430741,-0.489989728094525,2.24250136639042,-2.24250136639042,0.148151799581917,-0.148151799581917,1,1,"W"
1464.2,18.3396879546914,290.681426722703,-6.23155540018132,-0.433440655028057,2.24124444319264,-2.24124444319264,0.147871939394084,-0.147871939394084,1,1,"W"
1464.3,19.2596844706686,305.273538036251,-6.21753902712207,-0.42663457312,2.24078598695845,-2.24078598695845,0.147839495666504,-0.147839495666504,1,1,"W"
1464.4,18.6613084375574,295.79902205547,-6.25793524390903,-0.500085669162374,2.24241147010089,-2.24241147010089,0.148213275328366,-0.148213275328366,1,1,"W"
1464.5,18.7750636355553,297.612186502482,-6.23899245248291,-0.452410604342083,2.24148489240761,-2.24148489240761,0.147979205306545,-0.147979205306545,1,1,"W"
1464.6,19.1091481204292,302.918131482455,-6.24308168353833,-0.461609031056377,2.24163086314849,-2.24163086314849,0.148029436834099,-0.148029436834099,1,1,"W"
1464.7,18.7889955605019,297.853121171558,-6.26285762891537,-0.488293361741278,2.24233058172037,-2.24233058172037,0.148169057172867,-0.148169057172867,1,1,"W"
1464.8,19.4423426337993,308.220721442281,-6.25525838740554,-0.462804928640872,2.24188383115276,-2.24188383115276,0.148046443192216,-0.148046443192216,1,1,"W"
1464.9,18.6206568926318,295.20444062223,-6.29338012272695,-0.514887152390971,2.24327227084477,-2.24327227084477,0.148314887633072,-0.148314887633072,1,1,"W"
1465,18.4697897628617,292.822529508836,-6.26693157974656,-0.44937043450763,2.24200202851735,-2.24200202851735,0.147991586615746,-0.147991586615746,1,1,"W"
1465.1,18.9612710997832,300.624679456974,-6.25479424183081,-0.437532625740459,2.24155069714844,-2.24155069714844,0.147934909444356,-0.147934909444356,1,1,"W"
1465.2,18.7232100926678,296.86031243472,-6.27461446483417,-0.476860611985241,2.24235665313905,-2.24235665313905,0.14813658089457,-0.14813658089457,1,1,"W"
1465.3,19.0418223058552,301.922155860448,-6.26735023747758,-0.457956038772692,2.24197340726226,-2.24197340726226,0.148046351970086,-0.148046351970086,1,1,"W"
1465.4,18.2110803962884,288.759866982099,-6.28466787714589,-0.483436249610019,2.24259904979276,-2.24259904979276,0.14817951656618,-0.14817951656618,1,1,"W"
1465.5,18.6442008266185,295.637512106424,-6.24625786374258,-0.41733728459457,2.24101274931418,-2.24101274931418,0.147850604546686,-0.147850604546686,1,1,"W"
1465.6,18.9477491258666,300.460950734707,-6.2554160426156,-0.452122512726832,2.24150338388289,-2.24150338388289,0.148027533100739,-0.148027533100739,1,1,"W"
